"delcol.name","delcol.freq","base.wordfreq"
"i","1","22727"
"the","2","20243"
"you","3","19011"
"to","4","12024"
"and","5","11543"
"a","6","10553"
"it","7","9861"
"me","8","8821"
"not","9","8130"
"my","10","6990"
"is","11","6886"
"in","12","6246"
"of","13","5624"
"that","14","5310"
"do","15","5175"
"your","16","5013"
"am","17","4576"
"on","18","4547"
"we","19","4373"
"all","20","4009"
"are","21","3951"
"will","22","3797"
"for","23","3692"
"be","24","3557"
"no","25","3439"
"love","26","3280"
"so","27","3259"
"have","28","3207"
"know","29","2999"
"this","30","2962"
"what","31","2948"
"but","32","2884"
"with","33","2878"
"like","34","2669"
"just","35","2445"
"get","36","2323"
"up","37","2316"
"when","38","2284"
"come","39","2216"
"go","40","2095"
"can","41","2080"
"now","42","2050"
"oh","43","2037"
"got","44","2034"
"they","45","1902"
"if","46","1886"
"there","47","1852"
"one","48","1837"
"was","49","1831"
"she","50","1800"
"time","51","1794"
"down","52","1770"
"see","53","1733"
"que","54","1721"
"let","55","1718"
"he","56","1702"
"out","57","1652"
"say","58","1613"
"never","59","1611"
"babi","60","1594"
"want","61","1566"
"make","62","1527"
"from","63","1491"
"would","64","1466"
"de","65","1454"
"yeah","66","1447"
"take","67","1362"
"feel","68","1349"
"way","69","1349"
"ca","70","1346"
"la","71","1317"
"caus","72","1249"
"day","73","1205"
"at","74","1200"
"back","75","1194"
"as","76","1149"
"how","77","1140"
"her","78","1112"
"life","79","1110"
"tell","80","1072"
"here","81","1071"
"away","82","1055"
"gonna","83","1054"
"thing","84","1045"
"y","85","1010"
"right","86","995"
"could","87","986"
"girl","88","985"
"night","89","970"
"need","90","966"
"heart","91","964"
"more","92","963"
"who","93","924"
"by","94","896"
"been","95","868"
"look","96","868"
"man","97","862"
"through","98","858"
"world","99","856"
"or","100","852"
"whi","101","850"
"give","102","840"
"ya","103","839"
"where","104","827"
"onli","105","806"
"about","106","798"
"think","107","791"
"our","108","776"
"eye","109","764"
"keep","110","761"
"said","111","755"
"wanna","112","752"
"tri","113","751"
"his","114","750"
"en","115","739"
"well","116","730"
"tu","117","716"
"again","118","709"
"then","119","703"
"around","120","699"
"live","121","693"
"some","122","693"
"us","123","693"
"yo","124","683"
"die","125","674"
"te","126","670"
"good","127","659"
"call","128","658"
"still","129","657"
"wo","130","652"
"littl","131","651"
"them","132","650"
"mind","133","642"
"an","134","640"
"everi","135","620"
"ever","136","602"
"long","137","602"
"turn","138","602"
"did","139","600"
"too","140","600"
"un","141","594"
"had","142","591"
"el","143","576"
"everyth","144","570"
"over","145","567"
"hand","146","562"
"alway","147","560"
"find","148","557"
"mi","149","555"
"head","150","553"
"face","151","551"
"noth","152","549"
"walk","153","547"
"believ","154","546"
"dream","155","542"
"run","156","541"
"were","157","534"
